epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,289.135,1.50888,8.13537,0.00974,0.00492,0.86882,0.28885,0.14823,1.11953,8.55594,0.00796,0.000537144,0.000537144,0.000537144
2,527.55,1.34631,6.59498,0.00882,0.95656,0.10105,0.51186,0.25492,1.17934,8.13075,0.00847,0.000984623,0.000984623,0.000984623
3,746.678,1.35394,5.7862,0.00866,0.71564,0.40917,0.5896,0.33842,1.21147,7.08879,0.00863,0.00132208,0.00132208,0.00132208
4,981.825,1.39537,5.09541,0.00897,0.60128,0.69233,0.68483,0.38222,1.3375,5.68386,0.00996,0.0011719,0.0011719,0.0011719
5,1198.2,1.36132,4.38103,0.00929,0.7153,0.6978,0.72655,0.39022,1.38607,4.74715,0.01043,0.00100687,0.00100687,0.00100687
6,1437.29,1.41638,3.89459,0.00929,0.71297,0.74251,0.7623,0.43166,1.40197,4.03541,0.01028,0.000841835,0.000841835,0.000841835
7,1703.32,1.41409,3.46911,0.0092,0.64938,0.77771,0.74872,0.42622,1.46705,3.80203,0.01136,0.000676802,0.000676802,0.000676802
8,1953.24,1.34881,3.23114,0.00878,0.64666,0.77243,0.75489,0.42822,1.27927,3.38501,0.00928,0.000511769,0.000511769,0.000511769
9,2145.32,1.35806,2.98495,0.00865,0.76407,0.82212,0.80495,0.47435,1.28167,3.1772,0.00921,0.000346736,0.000346736,0.000346736
10,2337.03,1.33213,2.88635,0.00841,0.76747,0.82212,0.80566,0.47878,1.25279,3.0882,0.009,0.000181703,0.000181703,0.000181703
